assetId,filename,family,subjectId,subjectTitle,simpleVisualDescription,aspectRatio,batchId,batchIndexWithinFamily,batchAssetCount,simpleCommand
VIS-CIV-T00-HERO,VIS-CIV-T00-HERO.webp,TIMELINE_ANCHOR,T00,定居以前与定居阈值,表现“定居以前与定居阈值”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B01,1,10,继续 TIMELINE_ANCHOR 第一批 10 张
VIS-CIV-T01-HERO,VIS-CIV-T01-HERO.webp,TIMELINE_ANCHOR,T01,城市阈值,表现“城市阈值”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B01,1,10,继续 TIMELINE_ANCHOR 第一批 10 张
VIS-CIV-T02-HERO,VIS-CIV-T02-HERO.webp,TIMELINE_ANCHOR,T02,第一代文明 Runtime,表现“第一代文明 Runtime”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B01,1,10,继续 TIMELINE_ANCHOR 第一批 10 张
VIS-CIV-T03-HERO,VIS-CIV-T03-HERO.webp,TIMELINE_ANCHOR,T03,青铜时代国际体系,表现“青铜时代国际体系”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B01,1,10,继续 TIMELINE_ANCHOR 第一批 10 张
VIS-CIV-T04-HERO,VIS-CIV-T04-HERO.webp,TIMELINE_ANCHOR,T04,青铜时代崩解与铁器重组,表现“青铜时代崩解与铁器重组”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B01,1,10,继续 TIMELINE_ANCHOR 第一批 10 张
VIS-CIV-T05-HERO,VIS-CIV-T05-HERO.webp,TIMELINE_ANCHOR,T05,古典思想与帝国形成,表现“古典思想与帝国形成”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B01,1,10,继续 TIMELINE_ANCHOR 第一批 10 张
VIS-CIV-T06-HERO,VIS-CIV-T06-HERO.webp,TIMELINE_ANCHOR,T06,第一代大陆帝国,表现“第一代大陆帝国”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B01,1,10,继续 TIMELINE_ANCHOR 第一批 10 张
VIS-CIV-T07-HERO,VIS-CIV-T07-HERO.webp,TIMELINE_ANCHOR,T07,古典体系转型,表现“古典体系转型”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B01,1,10,继续 TIMELINE_ANCHOR 第一批 10 张
VIS-CIV-T08-HERO,VIS-CIV-T08-HERO.webp,TIMELINE_ANCHOR,T08,超政治文明形成,表现“超政治文明形成”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B01,1,10,继续 TIMELINE_ANCHOR 第一批 10 张
VIS-CIV-T09-HERO,VIS-CIV-T09-HERO.webp,TIMELINE_ANCHOR,T09,商业密度时代,表现“商业密度时代”的时代主场景：代表性聚落、城市、制度、交通、贸易或技术；无文字，留叠字空间。,16:09,CIV-VIS-B01,1,10,继续 TIMELINE_ANCHOR 第一批 10 张
